,Dataset,Column,Algorithm,Comparisons,Runs,Inversions,Deletions,Dis,deletions_val_dist1,runs_val_dist1,deletions_comp_dist1,runs_comp_dist1,deletions_val_dist2,runs_val_dist2,deletions_comp_dist2,runs_comp_dist2,deletions_val_dist3,runs_val_dist3,deletions_comp_dist3,runs_comp_dist3,deletions_val_dist4,runs_val_dist4,deletions_comp_dist4,runs_comp_dist4,deletions_val_dist5,runs_val_dist5,deletions_comp_dist5,runs_comp_dist5,deletions_val_dist6,runs_val_dist6,deletions_comp_dist6,runs_comp_dist6,deletions_val_dist7,runs_val_dist7,deletions_comp_dist7,runs_comp_dist7,deletions_val_dist8,runs_val_dist8,deletions_comp_dist8,runs_comp_dist8,deletions_val_dist9,runs_val_dist9,deletions_comp_dist9,runs_comp_dist9,deletions_val_dist10,runs_val_dist10,deletions_comp_dist10,runs_comp_dist10,deletions_val_dist11,runs_val_dist11,deletions_comp_dist11,runs_comp_dist11,deletions_val_dist12,runs_val_dist12,deletions_comp_dist12,runs_comp_dist12,deletions_val_dist13,runs_val_dist13,deletions_comp_dist13,runs_comp_dist13,deletions_val_dist14,runs_val_dist14,deletions_comp_dist14,runs_comp_dist14,deletions_val_dist15,runs_val_dist15,deletions_comp_dist15,runs_comp_dist15,deletions_val_dist16,runs_val_dist16,deletions_comp_dist16,runs_comp_dist16,deletions_val_dist17,runs_val_dist17,deletions_comp_dist17,runs_comp_dist17,deletions_val_dist18,runs_val_dist18,deletions_comp_dist18,runs_comp_dist18,deletions_val_dist19,runs_val_dist19,deletions_comp_dist19,runs_comp_dist19,deletions_val_dist20,runs_val_dist20,deletions_comp_dist20,runs_comp_dist20,introsort,insertion_sort,merge_sort,timsort,heap_sort,quick_sort,selection_sort
0,cp_ratings,Unnamed: 0,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,1895,19900,19900
1,cp_ratings,max_rating,quick_sort,1541,99,10020,177,199,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,4,2,16,7,5,3,20,8,6,4,23,9,7,4,27,10,8,5,30,11,9,5,33,12,9,5,34,13,9,5,35,14,10,6,39,15,11,7,43,16,12,7,47,17,13,7,51,18,13,7,52,19,1682,10219,1544,2059,1649,1541,19900
2,cp_ratings,contest1,quick_sort,1454,108,9805,177,198,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,4,2,16,7,5,3,19,8,6,4,22,9,7,4,26,10,8,5,29,11,9,5,33,12,9,5,34,13,9,5,35,14,10,6,39,15,11,7,43,16,12,7,47,17,12,7,48,18,12,7,49,19,1573,10004,1544,2037,1655,1454,19900
3,cp_ratings,contest2,merge_sort,1544,99,9769,175,199,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,2,8,4,2,2,9,5,3,3,12,6,4,3,16,7,5,4,19,8,6,5,22,9,7,5,26,10,8,6,29,11,9,6,33,12,9,6,34,13,9,6,35,14,10,7,39,15,11,8,43,16,12,8,47,17,13,9,51,18,13,9,52,19,1721,9968,1544,2031,1666,1607,19900
4,cp_ratings,contest3,merge_sort,1544,98,10007,176,199,0,0,0,0,0,0,1,1,1,1,4,2,2,2,6,3,3,2,9,4,3,2,10,5,4,3,13,6,4,3,14,7,5,4,18,8,6,5,21,9,7,5,25,10,8,6,28,11,9,6,31,12,9,6,32,13,9,6,33,14,10,7,37,15,11,8,41,16,12,8,45,17,13,9,49,18,13,9,50,19,1780,10206,1544,2065,1643,1602,19900
5,cp_ratings,contest4,merge_sort,1544,99,10188,178,199,0,0,0,0,0,0,1,1,1,1,4,2,2,2,6,3,3,2,9,4,3,2,10,5,4,3,13,6,4,3,14,7,5,4,18,8,6,5,22,9,7,6,26,10,8,7,30,11,8,7,31,12,8,7,32,13,8,7,33,14,9,8,37,15,10,9,41,16,11,9,45,17,12,10,49,18,12,10,50,19,1911,10387,1544,2022,1640,1778,19900
6,cp_ratings,contest5,merge_sort,1544,96,10042,175,199,0,0,0,0,0,0,1,1,1,1,4,2,2,2,6,3,3,2,9,4,3,2,10,5,4,3,13,6,4,3,14,7,5,4,18,8,5,4,19,9,5,4,20,10,6,5,24,11,7,6,28,12,7,6,29,13,7,6,30,14,8,7,34,15,9,8,38,16,10,8,42,17,11,9,46,18,11,9,47,19,1805,10241,1544,1995,1650,1680,19900
7,cp_ratings,contest6,quick_sort,1455,97,9937,177,199,0,0,0,0,0,0,1,1,1,1,3,2,2,2,5,3,3,2,8,4,3,2,9,5,4,3,12,6,5,3,15,7,6,4,18,8,7,5,21,9,7,5,22,10,8,6,25,11,9,7,28,12,9,7,29,13,9,7,30,14,10,8,34,15,11,9,38,16,12,9,42,17,13,10,45,18,14,10,49,19,1545,10136,1544,1976,1646,1455,19900
8,cp_ratings,contest7,quick_sort,1457,98,10047,178,199,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,11,6,4,2,15,7,5,3,19,8,6,4,23,9,6,4,24,10,7,5,28,11,8,6,32,12,8,6,33,13,8,6,34,14,9,7,38,15,10,8,42,16,11,8,46,17,12,9,50,18,13,9,54,19,1586,10246,1544,1974,1652,1457,19900
9,cp_ratings,contest8,merge_sort,1544,98,10394,175,199,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,11,6,4,2,15,7,5,3,18,8,6,4,21,9,7,4,25,10,8,5,28,11,9,5,31,12,9,5,32,13,9,5,33,14,10,6,37,15,11,7,41,16,12,7,45,17,13,8,48,18,14,8,52,19,1710,10593,1544,1995,1632,1601,19900
10,cp_ratings,contest9,quick_sort,1476,96,10528,177,199,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,11,6,4,2,15,7,5,3,19,8,6,4,22,9,7,4,25,10,8,5,28,11,9,6,31,12,9,6,32,13,9,6,33,14,10,7,37,15,11,8,41,16,12,8,45,17,13,9,49,18,14,9,53,19,1632,10727,1544,1996,1640,1476,19900
11,cp_ratings,contest10,merge_sort,1544,97,10664,176,199,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,11,6,4,2,15,7,5,3,18,8,6,4,21,9,7,4,24,10,8,5,27,11,9,5,30,12,9,5,31,13,9,5,32,14,10,6,36,15,11,7,40,16,12,7,44,17,13,8,48,18,13,8,49,19,1738,10863,1544,1994,1646,1549,19900
12,submit_example,ID,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,1895,19900,19900
13,submit_example,Label,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,182,19900,19900
14,INFY.NS,Open,merge_sort,1544,95,3410,148,156,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,12,6,3,2,13,7,4,3,17,8,5,4,21,9,6,5,25,10,6,5,26,11,6,5,27,12,6,5,28,13,7,6,33,14,7,6,34,15,8,7,38,16,9,7,43,17,9,7,44,18,9,7,45,19,4458,3609,1544,1764,1751,4329,19900
15,INFY.NS,High,merge_sort,1544,94,3464,145,117,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,12,6,3,2,13,7,4,3,17,8,5,4,21,9,6,5,25,10,6,5,26,11,6,5,27,12,6,5,28,13,7,6,33,14,7,6,34,15,8,7,38,16,8,7,39,17,8,7,40,18,8,7,41,19,3469,3663,1544,1781,1733,3340,19900
16,INFY.NS,Low,merge_sort,1544,86,3406,148,117,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,12,6,3,2,13,7,4,3,17,8,5,4,21,9,6,4,24,10,6,4,25,11,6,4,26,12,6,4,27,13,6,4,28,14,6,4,29,15,7,5,34,16,8,5,39,17,8,5,40,18,8,5,41,19,3725,3605,1544,1777,1722,3617,19900
17,INFY.NS,Close,merge_sort,1544,93,3535,151,118,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,12,6,3,2,13,7,4,3,16,8,5,4,19,9,6,5,22,10,6,5,23,11,6,5,24,12,6,5,25,13,6,5,26,14,6,5,27,15,7,6,32,16,7,6,33,17,7,6,34,18,7,6,35,19,3079,3734,1544,1792,1742,2940,19900
18,INFY.NS,Adj Close,merge_sort,1544,93,3323,150,117,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,3,2,12,6,3,2,13,7,4,3,16,8,5,4,19,9,6,4,23,10,6,4,24,11,6,4,25,12,6,4,26,13,6,4,27,14,6,4,28,15,7,5,33,16,7,5,34,17,7,5,35,18,7,5,36,19,3174,3522,1544,1784,1758,3037,19900
19,INFY.NS,Volume,merge_sort,1544,103,10815,177,194,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,2,8,4,2,2,9,5,3,3,13,6,3,3,14,7,4,4,18,8,5,4,21,9,6,5,25,10,7,5,29,11,8,6,32,12,8,6,33,13,9,7,37,14,10,8,41,15,11,8,45,16,12,8,49,17,12,8,50,18,13,9,54,19,2010,11014,1544,2015,1607,1823,19900
20,nittambuwa_rf_2017-2018,year,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,0,19900,19900
21,nittambuwa_rf_2017-2018,month,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,1304,19900,19900
22,nittambuwa_rf_2017-2018,day,timsort,1438,6,8863,167,180,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,1,1,6,4,2,1,9,5,3,2,12,6,4,2,15,7,5,2,19,8,6,3,22,9,7,3,25,10,8,3,29,11,9,4,32,12,10,4,35,13,10,4,36,14,10,4,37,15,11,5,41,16,12,5,45,17,13,5,49,18,14,6,53,19,2076,9062,1544,1438,1600,2309,19900
23,nittambuwa_rf_2017-2018,obs_val_mm,merge_sort,1544,59,5213,184,198,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,1,1,10,7,2,1,14,8,3,1,18,9,3,1,19,10,4,2,23,11,5,2,27,12,6,2,31,13,7,2,35,14,8,2,40,15,9,3,44,16,10,4,48,17,11,4,52,18,12,5,56,19,6715,5412,1544,1569,795,6769,19900
24,census_tracts_2010,GEOID,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,1895,19900,19900
25,census_tracts_2010,POP10,merge_sort,1544,103,11516,177,199,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,1,1,6,4,2,2,9,5,3,2,13,6,4,3,16,7,5,3,19,8,6,4,22,9,7,4,25,10,8,5,28,11,8,5,29,12,9,6,32,13,10,7,35,14,11,7,39,15,12,8,43,16,13,9,47,17,14,9,51,18,14,9,52,19,1998,11715,1544,1981,1612,1849,19900
26,census_tracts_2010,HU10,merge_sort,1544,98,11234,174,199,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,1,1,7,5,2,1,10,6,3,2,13,7,4,2,17,8,5,3,21,9,6,3,24,10,7,4,27,11,8,4,31,12,9,5,34,13,10,6,38,14,11,6,42,15,12,7,46,16,13,7,49,17,14,7,53,18,14,7,54,19,1681,11433,1544,1920,1625,1590,19900
27,census_tracts_2010,ALAND,merge_sort,1544,88,8800,170,193,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,2,1,9,6,3,2,12,7,4,2,16,8,5,3,20,9,6,3,23,10,7,3,27,11,7,3,28,12,7,3,29,13,8,4,33,14,8,4,34,15,9,5,38,16,10,6,42,17,11,6,46,18,12,6,51,19,1707,8999,1544,1953,1668,1583,19900
28,census_tracts_2010,AWATER,quick_sort,1454,97,10345,175,193,0,0,0,0,0,0,1,1,1,1,4,2,1,1,5,3,2,2,8,4,3,3,11,5,3,3,12,6,4,4,15,7,5,4,18,8,6,5,21,9,6,5,22,10,6,5,23,11,6,5,24,12,7,6,28,13,8,6,32,14,9,7,36,15,10,7,40,16,11,8,44,17,12,8,48,18,12,8,49,19,1551,10544,1544,1942,1579,1454,19900
29,census_tracts_2010,ALAND_SQMI,merge_sort,1544,88,8800,170,193,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,2,1,8,5,2,1,9,6,3,2,12,7,4,2,16,8,5,3,20,9,6,3,23,10,7,3,27,11,7,3,28,12,7,3,29,13,8,4,33,14,8,4,34,15,9,5,38,16,10,6,42,17,11,6,46,18,12,6,51,19,1707,8999,1544,1953,1668,1583,19900
30,census_tracts_2010,AWATER_SQMI,quick_sort,1480,97,10308,175,193,0,0,0,0,0,0,1,1,1,1,4,2,1,1,5,3,2,2,8,4,3,3,11,5,3,3,12,6,4,4,15,7,5,4,18,8,6,5,21,9,6,5,22,10,6,5,23,11,6,5,24,12,7,6,28,13,8,6,32,14,9,7,36,15,10,7,40,16,11,8,44,17,12,8,48,18,12,8,49,19,1524,10507,1544,1936,1555,1480,19900
31,census_tracts_2010,INTPTLAT,merge_sort,1544,121,8712,172,199,0,0,0,0,0,0,1,1,1,1,3,2,2,2,5,3,3,3,7,4,4,3,10,5,4,3,11,6,5,4,14,7,6,4,17,8,7,5,20,9,7,5,21,10,8,6,24,11,8,6,25,12,9,7,29,13,10,8,33,14,11,8,36,15,12,9,40,16,12,9,41,17,13,10,45,18,14,11,49,19,1966,8911,1544,2234,1674,1820,19900
